kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,warmup,103,0.00515,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,1,5e-5,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,164,0.0082,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_02,90,nan acceptance prob,warmup,1,5e-5,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_02,90,nan acceptance prob,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,33,0.00165,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210912,-1,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,93,0.00465,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,135,0.00674999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,36,0.0018,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205339,1,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,96,0.0048,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205601,2,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,1,5e-5,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205601,2,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,194,0.0097,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205601,2,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205601,2,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,32,0.00159999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205601,2,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205601,2,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,109,0.00545,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205554,3,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205554,3,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,158,0.00789999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205554,3,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205554,3,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,27,0.00134999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205554,3,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205554,3,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,89,0.00445,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205857,4,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205857,4,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,102,0.00509999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205857,4,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205857,4,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,37,0.00185,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205857,4,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205857,4,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,98,0.0049,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210240,5,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210240,5,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,128,0.00639999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210240,5,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210240,5,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,40,0.002,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210240,5,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210240,5,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,88,0.00439999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205447,6,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205447,6,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,164,0.0082,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205447,6,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205447,6,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,31,0.00155,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205447,6,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205447,6,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,107,0.00535,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205308,7,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205308,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,66,0.0033,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205308,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205308,7,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,35,0.00174999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205308,7,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205308,7,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,93,0.00465,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205822,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205822,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,123,0.00614999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205822,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,1,5e-5,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205822,8,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,44,0.0022,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205822,8,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205822,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,106,0.0053,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210027,9,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210027,9,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,139,0.00695,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210027,9,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210027,9,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,37,0.00185,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210027,9,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-210027,9,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,104,0.0052,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205705,10,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205705,10,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,134,0.00669999999999999,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205705,10,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205705,10,-7,7,40,identity,NA
kernel_06,1,divergent transition,warmup,36,0.0018,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205705,10,-7,7,40,identity,NA
kernel_06,1,divergent transition,posterior,0,0,ptm-nonlinear-77-id,001c-ptm-nonlinear,20250909-205705,10,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,100,0.005,ptm-linear-77-id,002c-ptm-linear,20250909-211407,-1,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-211407,-1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,134,0.0067,ptm-linear-77-id,002c-ptm-linear,20250909-211407,-1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-211407,-1,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,36,0.0018,ptm-linear-77-id,002c-ptm-linear,20250909-211407,-1,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-211407,-1,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,90,0.0045,ptm-linear-77-id,002c-ptm-linear,20250909-210244,1,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210244,1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,80,0.004,ptm-linear-77-id,002c-ptm-linear,20250909-210244,1,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210244,1,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,35,0.00175,ptm-linear-77-id,002c-ptm-linear,20250909-210244,1,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210244,1,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,105,0.00524999999999999,ptm-linear-77-id,002c-ptm-linear,20250909-205113,2,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205113,2,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,156,0.0078,ptm-linear-77-id,002c-ptm-linear,20250909-205113,2,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205113,2,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,33,0.00165,ptm-linear-77-id,002c-ptm-linear,20250909-205113,2,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205113,2,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,106,0.0053,ptm-linear-77-id,002c-ptm-linear,20250909-210311,3,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210311,3,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,171,0.00855,ptm-linear-77-id,002c-ptm-linear,20250909-210311,3,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210311,3,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,31,0.00155,ptm-linear-77-id,002c-ptm-linear,20250909-210311,3,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210311,3,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,87,0.00435,ptm-linear-77-id,002c-ptm-linear,20250909-210051,4,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210051,4,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,66,0.0033,ptm-linear-77-id,002c-ptm-linear,20250909-210051,4,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210051,4,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,37,0.00185,ptm-linear-77-id,002c-ptm-linear,20250909-210051,4,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210051,4,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,94,0.00469999999999999,ptm-linear-77-id,002c-ptm-linear,20250909-210851,5,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210851,5,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,116,0.0058,ptm-linear-77-id,002c-ptm-linear,20250909-210851,5,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210851,5,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,39,0.00195,ptm-linear-77-id,002c-ptm-linear,20250909-210851,5,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210851,5,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,99,0.00495,ptm-linear-77-id,002c-ptm-linear,20250909-210332,6,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210332,6,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,99,0.00495,ptm-linear-77-id,002c-ptm-linear,20250909-210332,6,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210332,6,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,32,0.00159999999999999,ptm-linear-77-id,002c-ptm-linear,20250909-210332,6,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210332,6,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,94,0.0047,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,109,0.00545,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,33,0.00165,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,93,0.00465,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,85,0.00425,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_05,1,divergent transition,warmup,40,0.002,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_05,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,-7,7,40,identity,NA
kernel_00,1,divergent transition,warmup,100,0.005,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
kernel_00,2,maximum tree depth,warmup,87,0.00435,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,-7,7,40,identity,NA
